variant,Engine Type,Displacement,Max Power,Max Torque,No. of Cylinders,Valves Per Cylinder,Transmission Type,Gearbox,Drive Type,Fuel Type,Petrol Mileage ARAI,Petrol Fuel Tank Capacity,Emission Norm Compliance,Top Speed,Front Suspension,Rear Suspension,Shock Absorbers Type,Steering Type,Steering Column,Front Brake Type,Rear Brake Type,Length,Width,Height,Seating Capacity,Wheel Base,No. of Doors,Reported Boot Space,Power Steering,Air Conditioner,Heater,Adjustable Steering,Height Adjustable Driver Seat,Automatic Climate Control,Accessory Power Outlet,Trunk Light,Vanity Mirror,Rear Reading Lamp,Adjustable Headrest,Height Adjustable Front Seat Belts,Rear AC Vents,Cruise Control,Parking Sensors,KeyLess Entry,Engine Start/Stop Button,Cooled Glovebox,Voice Commands,USB Charger,Central Console Armrest,Tailgate Ajar Warning,Gear Shift Indicator,Luggage Hook & Net,Battery Saver,Drive Modes,Idle Start-Stop System,Automatic Headlamps,Follow Me Home Headlamps,Additional Features,Voice assisted sunroof,Drive Mode Types,Power Windows,Cup Holders,Tachometer,Leather Wrapped Steering Wheel,Leather wrap gear-shift selector,Glove Box,Digital Cluster,Upholstery,Adjustable Headlamps,Rear Window Wiper,Rear Window Washer,Rear Window Defogger,Wheel Covers,Alloy Wheels,Outside Rear View Mirror Turn Indicators,Halogen Headlamps,Antenna,Sunroof,Boot Opening,Puddle Lamps,Outside Rear View Mirror (ORVM),Tyre Size,Tyre Type,Wheel Size,LED DRLs,LED Headlamps,LED Taillights,Anti-lock Braking System (ABS),Central Locking,Anti-Theft Alarm,No. of Airbags,Driver Airbag,Passenger Airbag,Side Airbag,Side Airbag-Rear,Day & Night Rear View Mirror,Curtain Airbag,Electronic Brakeforce Distribution (EBD),Seat Belt Warning,Door Ajar Warning,Tyre Pressure Monitoring System (TPMS),Engine Immobilizer,Electronic Stability Control (ESC),Rear Camera,Speed Alert,Speed Sensing Auto Door Lock,ISOFIX Child Seat Mounts,Pretensioners & Force Limiter Seatbelts,Hill Assist,Impact Sensing Auto Door Unlock,Radio,Wireless Phone Charging,Bluetooth Connectivity,Touchscreen,Touchscreen Size,Android Auto,Apple CarPlay,Usb Ports,Inbuilt Apps,Speakers,Over the Air (OTA) Updates,SOS Button,RSA,Smartwatch App,SOS / Emergency Assistance,No. of Speakers,Tweeters,Alloy Wheel Size Front,Alloy Wheel Size Rear,Anti-Pinch Power Windows,Subwoofer
Hyundai i20 Era,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,Rear,no,no,no,no,Front,no,yes,yes,yes,yes,no,yes,no,no,"High mount stop lamp,Parametric jewel pattern grille,Painted black finish-Air curtain garnish,Tailgate garnish,Side wing spoiler,Skid plate-Silver finish,Outside door handles-Body coloured,Outside rear view mirror-Body coloured,Body colour bumpers,B pillar black out tape",no,no,Front Only,no,yes,no,no,yes,yes,Fabric,yes,no,no,no,yes,no,no,yes,Pole-Micro,no,Manual,no,Manual,185/70 R14,Tubeless,14 Inch,no,no,no,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,Driver and Passenger,yes,yes,no,no,no,no,inch,no,no,no,no,no,no,no,no,no,no,,,,,,
Hyundai i20 Magna,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,Rear,yes,no,no,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,no,Front & Rear,Front Only,yes,no,no,yes,yes,Fabric,yes,no,no,no,yes,no,no,yes,Shark Fin,no,Manual,no,Powered,185/65 R15,Tubeless,15 Inch,yes,no,no,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,Driver and Passenger,yes,yes,yes,no,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Sportz,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,no,Front & Rear,Front Only,yes,no,no,yes,yes,Fabric,yes,no,no,yes,yes,no,yes,yes,Shark Fin,no,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,no,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Sportz DT,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,no,Front & Rear,Front Only,yes,no,no,yes,yes,Leatherette,yes,no,no,yes,yes,no,yes,yes,Shark Fin,no,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,no,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Sportz Opt,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,no,Front & Rear,Front Only,yes,no,no,yes,yes,Fabric,yes,no,no,yes,yes,no,yes,yes,Shark Fin,Single Pane,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Sportz Opt DT,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,no,Front & Rear,Front Only,yes,no,no,yes,yes,Leatherette,yes,no,no,yes,yes,no,yes,yes,Shark Fin,Single Pane,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Asta,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & Telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,Rear,yes,yes,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,"Wireless Andriod Auto/Apple CarPlay,Bose premium 7 speaker system",no,no,Front & Rear,Front Only,yes,yes,yes,yes,yes,Fabric,yes,yes,yes,yes,no,yes,yes,no,Shark Fin,Single Pane,Manual,yes,Powered & Folding,195/55 R16,Tubeless,,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,16 Inch,16 Inch,Driver's Window,1
Hyundai i20 Sportz IVT,1.2 l Kappa,1197 cc,87bhp@6000rpm,114.7Nm@4200rpm,4,4,Automatic,IVT,FWD,Petrol,20 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,no,yes,yes,2,no,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,Normal-Sports,Front & Rear,Front Only,yes,no,no,yes,yes,Fabric,yes,no,no,yes,yes,no,yes,yes,Shark Fin,no,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,no,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Sportz Opt IVT,1.2 l Kappa,1197 cc,87bhp@6000rpm,114.7Nm@4200rpm,4,4,Automatic,IVT,FWD,Petrol,20 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,Rear,yes,no,yes,yes,Front & Rear,With Storage,yes,no,yes,yes,2,no,yes,yes,Wireless Andriod Auto/Apple CarPlay,no,Normal-Sports,Front & Rear,Front Only,yes,no,no,yes,yes,Fabric,yes,no,no,yes,yes,no,yes,yes,Shark Fin,Single Pane,Manual,no,Powered & Folding,195/55 R16,Tubeless,16 Inch,yes,no,yes,yes,yes,no,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,8 inch,yes,yes,yes,no,Front & Rear,no,no,no,no,no,4,2,,,,
Hyundai i20 Asta Opt,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,yes,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,"Ambient sounds of nature,Bose premium 7 speaker system",yes,no,Front & Rear,Front Only,yes,yes,yes,yes,yes,Leatherette,yes,yes,yes,yes,no,yes,yes,no,Shark Fin,Single Pane,Manual,yes,Powered & Folding,195/55 R16,Tubeless,,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,10.25 inch,yes,yes,yes,Bluelink,Front & Rear,yes,yes,yes,yes,yes,4,2,16 Inch,16 Inch,Driver's Window,1
Hyundai i20 Asta Opt DT,1.2 l Kappa,1197 cc,82bhp@6000rpm,114.7Nm@4200rpm,4,4,Manual,5-Speed,FWD,Petrol,16 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,yes,yes,yes,Front & Rear,With Storage,yes,yes,yes,yes,no,yes,yes,yes,"Ambient sounds of nature,Bose premium 7 speaker system",yes,no,Front & Rear,Front Only,yes,yes,yes,yes,yes,Leatherette,yes,yes,yes,yes,no,yes,yes,no,Shark Fin,Single Pane,Manual,yes,Powered & Folding,195/55 R16,Tubeless,,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,10.25 inch,yes,yes,yes,Bluelink,Front & Rear,yes,yes,yes,yes,yes,4,2,16 Inch,16 Inch,Driver's Window,1
Hyundai i20 Asta Opt IVT,1.2 l Kappa,1197 cc,87bhp@6000rpm,114.7Nm@4200rpm,4,4,Automatic,IVT,FWD,Petrol,20 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & Telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,yes,yes,yes,Front & Rear,With Storage,yes,no,yes,yes,2,no,yes,yes,"Ambient sounds of nature,Bose premium 7 speaker system",yes,Normal-Sports,Front & Rear,Front Only,yes,yes,yes,yes,yes,Leatherette,yes,yes,yes,yes,no,yes,yes,no,Shark Fin,Single Pane,Manual,yes,Powered & Folding,195/55 R16,Tubeless,N Inch,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,10.25 inch,yes,yes,yes,Bluelink,Front & Rear,yes,yes,yes,yes,yes,4,2,16 Inch,16 Inch,Driver's Window,1
Hyundai i20 Asta Opt IVT DT,1.2 l Kappa,1197 cc,87bhp@6000rpm,114.7Nm@4200rpm,4,4,Automatic,IVT,FWD,Petrol,20 kmpl,37 Litres,BS VI 2.0,160  kmph,MacPherson Strut suspension,Rear twist beam,Gas Type,Electric,Tilt & Telescopic,Disc,Drum,3995 mm,1775 mm,1505 mm,5,2580 mm,5,311 Litres,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rear,yes,yes,yes,yes,Front & Rear,With Storage,yes,no,yes,yes,2,no,yes,yes,"Ambient sounds of nature,Bose premium 7 speaker system",yes,Normal-Sports,Front & Rear,Front Only,yes,yes,yes,yes,yes,Leatherette,yes,yes,yes,yes,no,yes,yes,no,Shark Fin,Single Pane,Manual,yes,Powered & Folding,195/55 R16,Tubeless,,yes,yes,yes,yes,yes,yes,6,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,With Guidedlines,yes,yes,yes,Driver and Passenger,yes,yes,yes,yes,yes,yes,10.25 inch,yes,yes,yes,Bluelink,Front & Rear,yes,yes,yes,yes,,4,2,16 Inch,16 Inch,Driver's Window,1
